@W
W4X13|4 x 13||1.9667
W5X16|5 x 16||2.4167
W5X19|5 x 19||2.45
W6X8_5|6 x 8.5||2.225
W6X9|6 x 9||2.2333
W6X12|6 x 12||2.2667
W6X15|6 x 15||2.925
W6X16|6 x 16||2.3083
W6X20|6 x 20||2.9583
W6X25|6 x 25||3.0
W8X10|8 x 10||2.5583
W8X13|8 x 13||2.5833
W8X15|8 x 15||2.6083
W8X18|8 x 18||3.025
W8X21|8 x 21||3.05
W8X24|8 x 24||3.3917
W8X28|8 x 28||3.4167
W8X31|8 x 31||3.9
W8X35|8 x 35||3.9167
W8X40|8 x 40||3.95
W8X48|8 x 48||4.0
W8X58|8 x 58||4.0583
W8X67|8 x 67||4.1083
W10X12|10 x 12||2.8917
W10X15|10 x 15||2.9167
W10X17|10 x 17||2.9333
W10X19|10 x 19||2.9583
W10X22|10 x 22||3.5333
W10X26|10 x 26||3.55
W10X30|10 x 30||3.5917
W10X33|10 x 33||4.1583
W10X39|10 x 39||4.1917
W10X45|10 x 45||4.225
W10X49|10 x 49||4.875
W10X54|10 x 54||4.8833
W10X60|10 x 60||4.925
W10X68|10 x 68||4.95
W10X77|10 x 77||5.0083
W10X88|10 x 88||5.0583
W10X100|10 x 100||5.1
W10X112|10 x 112||5.1667
W12X14|12 x 14||3.2333
W12X16|12 x 16||3.25
W12X19|12 x 19||3.2917
W12X22|12 x 22||3.3083
W12X26|12 x 26||4.1167
W12X30|12 x 30||4.1333
W12X35|12 x 35||4.175
W12X40|12 x 40||4.5333
W12X45|12 x 45||4.575
W12X50|12 x 50||4.5917
W12X53|12 x 53||5.2083
W12X58|12 x 58||5.2167
W12X65|12 x 65||5.8667
W12X72|12 x 72||5.8917
W12X79|12 x 79||5.9333
W12X87|12 x 87||5.9417
W12X96|12 x 96||6.0083
W12X106|12 x 106||6.0333
W12X120|12 x 120||6.0833
W12X136|12 x 136||6.15
W12X152|12 x 152||6.2167
W12X170|12 x 170||6.2917
W12X190|12 x 190||6.375
W12X210|12 x 210||6.4333
W12X230|12 x 230||6.5167
W12X252|12 x 252||6.5833
W12X279|12 x 279||6.675
W12X305|12 x 305||6.7583
W12X336|12 x 336||6.8833
W14X22|14 x 22||3.8583
W14X26|14 x 26||3.8917
W14X30|14 x 30||4.4417
W14X34|14 x 34||4.475
W14X38|14 x 38||4.5
W14X43|14 x 43||4.8167
W14X48|14 x 48||4.8333
W14X53|14 x 53||4.8583
W14X61|14 x 61||5.5
W14X68|14 x 68||5.5167
W14X74|14 x 74||5.575
W14X82|14 x 82||5.5833
W14X90|14 x 90||7.0083
W14X99|14 x 99||7.0667
W14X109|14 x 109||7.075
W14X120|14 x 120||7.1333
W14X132|14 x 132||7.1583
W14X145|14 x 145||7.4333
W14X159|14 x 159||7.4917
W14X176|14 x 176||7.5417
W14X193|14 x 193||7.5833
W14X211|14 x 211||7.6333
W14X233|14 x 233||7.7
W14X257|14 x 257||7.7833
W14X283|14 x 283||7.85
W14X311|14 x 311||7.9333
W14X342|14 x 342||8.0417
W14X370|14 x 370||8.125
W14X398|14 x 398||8.2
W14X426|14 x 426||8.2833
W14X455|14 x 455||8.3333
W14X500|14 x 500||8.5
W14X550|14 x 550||8.5833
W14X605|14 x 605||8.75
W14X665|14 x 665||8.9167
W14X730|14 x 730||9.0833
W14X808|14 x 808||9.3333
W14X873|14 x 873||9.5
W16X26|16 x 26||4.35
W16X31|16 x 31||4.3917
W16X36|16 x 36||4.875
W16X40|16 x 40||4.8917
W16X45|16 x 45||4.9167
W16X50|16 x 50||4.95
W16X57|16 x 57||4.975
